company,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Johnson & Johnson,-0.029999,-0.6500020000000001,0.549995,-0.259998,0.290001,-0.529999,0.430001,0.43,-0.099999,-0.580001,1.209999,-0.319999,-1.099999,-0.7099989999999999,-0.44999700000000004,0.150002,0.66,0.229999,-1.09,-0.169998
JPMorgan Chase,1.0599969999999999,0.889999,0.469997,1.0,0.310001,-0.59,-0.5,0.700001,0.48999799999999993,-0.619999,-0.120003,0.390004,-2.5,-1.490002,-0.549999,-0.560001,0.9800040000000001,-0.2,-0.7100029999999999,0.530003
Kimberly-Clark,-0.020005000000000002,0.010003,-0.820004,-0.57,-0.159997,-0.05999500000000001,0.490001,0.350001,-0.659999,-0.620001,0.419995,-0.519996,-1.120004,0.329995,-0.300008,-0.6400060000000001,-0.619997,-0.71,-0.090003,-0.419998
Coca Cola,-0.119999,-0.5,-0.019996,-0.140003,-0.309997,1.119998,0.7900010000000001,0.169998,0.09,-0.66,0.199997,-0.66,-1.18,-0.10999600000000001,-0.140004,0.069999,0.509998,-0.529999,-0.189999,-0.129997
Lookheed Martin,0.9799950000000001,1.0299989999999999,0.410004,-1.759994,1.260003,0.209999,0.209999,0.719993,0.049995,-0.199997,1.509995,0.300003,-1.07,-1.1699979999999999,0.5100020000000001,0.360001,0.43999499999999997,-2.279998,-1.640007,-0.44999700000000004
MasterCard,-1.1499979999999999,-1.7600060000000002,-0.680007,0.489997,1.650009,-4.770012,0.07,4.34,4.230003,0.839996,2.250004,0.38000100000000003,-5.0399970000000005,-5.580005,-0.949994,-3.409996,6.64999,-6.849995,-1.259994,2.289982
McDonalds,0.149998,-0.360001,-0.75,0.650002,-0.43,0.3,0.630001,-0.270001,0.090001,-0.389999,0.5799979999999999,-0.480004,0.23,0.159999,-0.25,1.060001,0.060002,-1.019996,-0.39,1.0599969999999999
3M,-0.069999,-0.300003,-0.209999,0.410003,0.629998,-0.399994,0.470001,-0.330002,-0.239998,-0.149994,1.300003,-0.110001,-1.9000009999999998,-0.919999,-0.5,0.169998,0.970001,-1.870003,-0.86,-0.399994
Microsoft,0.33,0.109999,-0.109999,-0.179998,0.379999,-0.439999,-0.08,0.09,0.65,-0.219999,0.35,-0.21999899999999997,-0.600001,-1.040001,0.08,0.29999899999999996,0.32,-0.68,-1.72,0.020000999999999998
Mitsubishi,0.06,0.02,0.01,0.04,0.06,-0.02,-0.01,0.03,0.09,0.05,0.01,-0.15,-0.01,-0.06,0.08,-0.09,0.09,-0.12,-0.04,0.05
Navistar,0.390004,-0.520001,1.110001,0.209999,-0.190003,0.029998,-0.5100020000000001,0.679996,0.639999,-0.59,2.759998,0.240002,-1.459999,-1.209999,0.110001,0.100003,-0.22999899999999998,-0.25,-0.639999,1.3300020000000001
Northrop Grumman,0.75,0.250002,0.369999,0.840005,0.070003,-0.25000100000000003,0.32000100000000004,1.540007,0.060001,-0.440002,0.329998,-0.139998,-1.4700030000000002,-1.1500059999999999,-0.550002,0.39,0.8900030000000001,-0.190001,-0.360001,1.040003
Novartis,-1.139999,-0.05,-0.5,0.029999,-0.079998,0.18,0.36,-0.020001,0.41,0.040001,0.010001999999999999,-0.02,-0.630001,-0.189998,-0.120003,0.169998,0.36,0.190002,-0.22999899999999998,0.310001
Pepsi,0.050003,0.98,-0.630001,-0.379997,0.010002,0.020000999999999998,1.0299989999999999,0.639999,0.779999,-0.32,0.100002,-0.139999,-1.069999,-0.360001,-0.470001,0.150002,0.240002,-0.559997,-0.22000100000000003,0.770001
Pfizer,0.66,-0.26,-0.06,-0.109998,0.059999,0.0,-0.029999,0.339998,0.179998,0.06,0.469999,-0.109998,-0.8000010000000001,-0.300001,-0.39,0.060002,0.21999899999999997,-0.440001,-0.040001,0.0
Procter Gamble,0.009998,0.009998,-0.090001,-0.060002,0.079998,0.119999,0.189998,0.479999,0.160004,-0.779998,0.9200020000000001,-0.52,-0.720001,0.560001,-0.200001,0.520001,0.350002,0.010002,-0.360001,0.140004
Philip Morris,1.019996,-0.45000100000000004,0.259998,0.759999,-0.060002,-0.34,-0.200001,0.5,0.11999800000000001,-0.040001,0.49000200000000005,-0.66,-1.4900010000000001,-0.7899970000000001,-0.040001,0.310001,-0.209999,-0.450001,-1.020001,0.36999899999999997
Royal Dutch Shell,0.489997,-0.190003,-0.229999,0.07,0.350002,-0.049999,0.169998,0.150002,0.399998,-0.5,1.389999,0.060001,-1.010003,-0.919998,0.080002,0.5,0.040001,-0.740002,-1.0800020000000001,0.5599970000000001
SAP,-0.119999,-0.16,0.579998,0.529999,0.530003,0.239997,-0.030003,-0.209999,-1.0800020000000001,-0.719997,0.649998,-0.3,-1.349998,-0.689998,-0.5400010000000001,0.319999,0.21999699999999997,-0.860001,-0.490001,-0.170002
Schlumberger,0.720002,0.31000500000000003,1.630005,1.020004,1.46,-0.650001,0.389999,1.139999,1.18,-0.389999,1.0599969999999999,-0.680001,-0.7099989999999999,-2.150001,0.119996,0.5,0.239998,-1.490006,-1.940003,0.48999799999999993
Sony,0.5,0.16,-0.029999,0.059999,0.369999,-0.119999,0.10000099999999999,0.380001,0.14,-0.200001,0.400002,-0.259998,-0.389999,-0.48999799999999993,-0.080002,-0.240002,0.240002,-0.510002,-0.24000100000000002,0.209999
Sanofi-Aventis,0.48,-0.110001,0.16,0.229999,0.219998,0.010003,0.25,0.049999,0.389999,-0.380001,0.690002,-0.650001,-1.0399969999999998,-0.45000100000000004,-0.269996,0.049999,0.150002,-1.0,-0.46999799999999997,0.049999
Symantec,0.35999899999999996,-0.10000099999999999,0.140002,-0.149999,0.120001,-0.099998,0.139999,-0.049999,-0.01,-0.14,0.349998,-0.370001,-0.27000100000000005,-0.339998,0.109998,0.16,0.220002,-0.630001,-0.559999,0.21999899999999997
Toyota,0.330002,0.599999,0.489998,0.68,1.260002,0.07,0.07,0.200004,1.4100030000000001,-0.739998,0.82,-1.349998,-0.75,-1.610001,-0.669998,0.029999,-1.660003,-0.490006,-0.9000020000000001,0.9500040000000001
Total,0.059997,0.010001999999999999,0.32,0.169999,0.630005,-0.190002,0.269997,-0.160004,0.29,-0.710003,1.240002,-0.169998,-2.110001,-0.869999,-0.34,0.549999,0.16,-1.149998,-1.240002,0.5
Taiwan Semiconductor Manufacturing,0.09,-0.07,-0.07,-0.3,-0.04,-0.11,-0.18,0.27,-0.14,-0.34,0.28,-0.1,-0.27,-0.42,0.06,-0.16,-0.04,-0.13,-0.08,-0.06
Texas instruments,-0.190001,-0.09,-0.23,0.15,0.74,-0.34,-1.11,0.01,-0.18,-0.18,0.269998,0.029999,-0.36999899999999997,-0.989999,0.280001,-0.039999,0.16,-0.41,-0.610001,0.49
Unilever,0.060001,-0.039997000000000005,0.140001,-0.01,0.18,-0.319997,0.08,-0.050003,-0.039997000000000005,-0.090001,0.29999899999999996,-0.099999,-0.7,-0.34,-0.09,0.180001,0.280001,-0.2,-0.46000100000000005,0.200001
Valero Energy,0.6400020000000001,0.230002,0.419999,0.170007,-0.239991,-0.350004,0.039997000000000005,-0.139998,0.20999299999999999,0.520001,0.12,0.429996,-0.180006,-0.5100020000000001,0.019999,0.7600020000000001,-0.149998,-0.219993,-0.040007,0.5000020000000001
Walgreen,0.290001,-0.099998,0.560001,0.25,0.070004,0.049999,-0.099998,0.43,-0.049999,-0.330002,0.120003,0.350003,-0.700001,-0.319999,0.44999700000000004,-0.38000100000000003,0.549999,-0.349998,-0.470001,0.09
Wells Fargo,0.3,0.8,0.08,1.009998,-0.039999,-0.290001,-0.389999,0.59,0.49,-0.74,0.350001,-0.2,0.02,-0.7099989999999999,0.209999,-0.46000100000000005,1.300001,0.17,-0.010001000000000001,0.33
Wal-Mart,0.48999799999999993,-0.400001,0.07,-0.120003,-0.099998,0.8799969999999999,0.73,0.219997,-0.520001,-0.66,0.119999,-0.059997,-1.150002,-0.02,-0.259998,0.7900010000000001,-0.11999800000000001,-0.77,-0.25,-0.139999
Exxon,0.430001,0.229996,0.57,-0.099999,-0.170005,0.360001,0.229996,-0.290001,0.139999,-0.540001,0.529999,-0.529999,-1.4200059999999999,-0.41999899999999996,-0.700005,0.279999,-0.120003,-0.889999,-0.720002,0.41000299999999995
Xerox,0.09,0.01,-0.08,0.07,-0.01,0.16,0.17,0.07,-0.02,-0.01,0.19,-0.03,0.12,-0.22,-0.14,-0.01,0.06,-0.06,-0.18,0.22
Yahoo,0.159999,0.010001000000000001,0.0,-0.109998,0.020001,-0.03,0.03,0.020001,0.310002,-0.43,-0.030001,-0.27000100000000005,-0.189998,-0.2,-0.21,0.17,-0.47999899999999995,-0.49,-0.5,-0.09
