Index,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
3029,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12Operating,CONTRA BENEFITS,NaN,GENERAL FUND,"Teacher, Elementary",n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,-894.72,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
3395,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub",Turnaround,NaN,NaN,NaN,NaN,UNALLOC BUDGETS/SCHOOLS,NaN,PROFESSIONAL-INSTRUCTIONAL,2.83,GENERAL HIGH SCHOOL EDUCATION,NaN,REGULAR INSTRUCTION
4490,Other Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12Operating,CONTRA BENEFITS,NaN,GENERAL FUND,Geographic Systems Analyst,n/a,NaN,NaN,PLANNING AND INNOVATION,NaN,NON-PROJECT,NaN,UNDESIGNATED,-215.13,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
4593,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,SEVERE DISABILITIES,GENERAL FUND,"Teacher,Spec Ed Center Prg",Regular,NaN,NaN,NaN,NaN,SPECIAL ED. - SEVERE NEEDS,NaN,PROFESSIONAL-INSTRUCTIONAL,"1,863.99",SPECIAL EDUCATION-HD MIDDLE,NaN,SPECIAL EDUCATION
5050,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,"Teacher, Elementary",Regular,NaN,NaN,NaN,NaN,ELA E-TEACHING SHELTERED ENG,NaN,PROFESSIONAL-INSTRUCTIONAL,"3,730.44",GENERAL K-8 EDUCATION,NaN,REGULAR INSTRUCTION
5066,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Office Supplies,NaN,Support Services--Pupils,NaN,NaN,NaN,General Supplies *,NaN,NaN,Other Support Services - Pupils,NaN,NaN,"-2,048.98",NaN,Miscellaneous Federal Grants,CHILD CARE
5370,Student Assignment,Leadership,Shared Services,Non-School,Unspecified,Other,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF PART TIME EMPLOYEE,NaN,GENERAL FUND,Temporary Employee,n/a,NaN,NaN,SCHOOL CHOICE,0.049165,NON-PROJECT,NaN,PROFESSIONAL-OTHER,"1,671.14","PLANNING,RESEARCH,DEVELOPMENT",NaN,CENTRAL
5916,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12Operating,NaN,NaN,NaN,Teacher-Instructional Support,NaN,NaN,NaN,NaN,0.5,NaN,NaN,NaN,"47,626.14",Misc,General Fund,NaN
6029,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Other,BaseSalary/Compensation,NonPreK,PreK-12Operating,Personal Services - Health Services,NaN,NaN,NaN,NaN,Special Education Support,NaN,District Wide Resources,0,NaN,TIME CARD,TIME CARD CERTIFIED,188.17,Principal's Office,General Purpose School,NaN
6054,Enrichment,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,Other,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Operations,"TRANSPORTATION,BUS DR. SPEC.ED",NaN,Game Workers,Extra Duty Pay/Overtime For Support Personnel,Unallocated,NaN,Extracurricular Activities,Athletic Department,ATHLETIC OPTIONAL PAY,"1,095.52",Athletics And Related Activities,General Operating Fund,GAME WORK
6730,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Overtime *,NaN,Operation and Maintenance of Plant Services,NaN,NaN,NaN,Non-Certificated Salaries And Wages,NaN,NaN,Care and Upkeep of Building Services,NaN,NaN,-348.88,NaN,Title I - Disadvantaged Children/Targeted Assi...,PARENT INVOLVEMENT
6794,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Travel&Conferences,NonPreK,PreK-12Operating,Travel And Subsistence - Employee Only,NaN,NaN,NaN,NaN,NaN,Travel And Subsistence - Employee Only,Administration - No Description Provided,NaN,General Administration,Finance Department,NaN,"23,689.93",Undistributed,General Operating Fund,NaN
7041,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Salaries Or Wages For Support Personnel,NaN,"Title,Part A Improving Basic Programs","CLASSROOM AIDE, REGULAR",NaN,NaN,Salaries Or Wages For Support Personnel,Summer School,NaN,Instruction,Instruction And Curriculum,AIDE,351.22,"Title I, Part A Schoolwide Activities Related...",Title;Part A Improving Basic Programs,EXTENDED YEAR
7151,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Physical Therapist,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,SPEECH & LANGUAGE,GENERAL FUND,Physical Therapist,n/a,NaN,NaN,SPECIAL EDUCATION,NaN,SPECIAL EDUCATION - ITINERANT,NaN,PROFESSIONAL-INSTRUCTIONAL,"4,816.06",SPECIAL EDUCATION-PT,NaN,SPECIAL EDUCATION
8384,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12Operating,SUPPLIES,NaN,PRIMARY GRADES PROGRAM,NaN,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,"5,011.38",PRIMARY GRADES PROGRAM,General Fund,NaN
8468,Professional Development,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Equipment&EquipmentLease,NO_LABEL,PreK-12Operating,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COM...,NaN,PROGRAM IMPROVEMENT INSTR,NaN,NaN,NaN,NaN,NaN,NaN,IMPROVEMENT OF INSTR SERV,NaN,NaN,244.78,Vocational,Vocational Education-Federal Funded,NaN
8815,Enrichment,Pupil Services & Enrichment,School Reported,School,Special Education,Teacher,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,ALL OTHER SUPPLEMENTS,NaN,NaN,"TEACHER, ASD",NaN,NaN,NaN,School,NaN,BASIC (FEFP K-12),NaN,NaN,745.40,NaN,GENERAL FUND,NaN
8960,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Operations,"TRANSPORTATION,BUS DR., RADIO",NaN,transportation - Second Runs,Extra Duty Pay/Overtime For Support Personnel,Unallocated,NaN,Transportation,Transportation Department,BUS DRIVER,"1,752.45",Undistributed,General Operating Fund,EXTENDED DAYS
9722,Other Compensation,Instruction,School Reported,School,Unspecified,Other,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,OTHER PERSONAL SERVICES,NaN,NaN,CLERICAL/TCHR ASST SUB,NaN,NaN,NaN,School,0,BASIC (FEFP K-12),NaN,NaN,533.02,NaN,GENERAL FUND,NaN
10876,Extended Time & Tutoring,Instruction,School Reported,School,Poverty,Teacher,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Salaries And Wages For Teachers And Other Prof...,NaN,"Title,School Improvement","TEACHER, REGULAR",NaN,NaN,Extended Day,School,NaN,Instruction,Instruction And Curriculum,TEACHER MASTER,77.94,"Title I, Part A Schoolwide Activities Related...",Title;Part A Improving Basic Programs,EXTENDED DAYS
10885,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,"School Counselor, High Sch",Turnaround,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,-168.94,GUIDANCE SERVICES,NaN,STUDENTS
11087,Other Non-Compensation,Instruction,School Reported,School,Unspecified,Non-Position,ContractedServices,NO_LABEL,PreK-12Operating,OTHER PROFESSIONAL SERVICES,NaN,STATE AND LOCAL GDPG FUND,(blank),Regular,NaN,NaN,NaN,NaN,READ TO ACHIEVE ROUND THREE,NaN,UNDESIGNATED,"26,986.01",GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
11147,Facilities & Maintenance,O&M,Leadership & Management,Non-School,Unspecified,Non-Position,Rent/Utilities,NO_LABEL,PreK-12Operating,SUNDAY PAY,PUBLIC UTILITIES,LOCAL,NaN,NaN,NaN,NaN,ARTS CENTER,NaN,NaN,NaN,ADDITIONAL GROSS PAY,251.64,NON-INSTRUCTIONAL SUPPORT SERVICES,LOCAL FUND,NaN
11678,Facilities & Maintenance,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12Operating,ENERGY,NaN,MISCELLANEOUS,NaN,NaN,NaN,NaN,NaN,NaN,MAINTENANCE AND OPERATING,NaN,NaN,"252,884.30",Misc,General Fund,NaN
11684,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Salaries And Wages For Teachers And Other Prof...,NaN,"Title,Part A Improving Basic Programs","TEACHER, REGULAR",NaN,NaN,Extended Year,Summer School,NaN,Instruction,Instruction And Curriculum,TEACHER BACHELOR,"1,734.26","Title I, Part A Schoolwide Activities Related...",Title;Part A Improving Basic Programs,EXTENDED YEAR
11690,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,EMPLOYEE BENEFITS,GENERAL FUND,Project Coordinator,n/a,NaN,NaN,EMPLOYEE BENEFITS,0.33334,EMPLOYEE BENEFITS,NaN,PROFESSIONAL-OTHER,"23,859.56",STAFF SERVICES,NaN,CENTRAL
12451,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplies and Materials,NaN,Support Services - Instructional Staff,NaN,NaN,NaN,Supplies And Materials,NaN,NaN,Instruction And Curriculum Development Services *,NaN,NaN,"4,569.93",NaN,Special Trust,ITEMS-VARIOUS GRANTS
12517,Food Services,O&M,School Reported,School,Unspecified,Other,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF PART TIME EMPLOYEE,FOOD SERVICES,FOOD SERVICE FUND,Food Service Worker II,Regular,NaN,NaN,NaN,0.059376,NON-PROJECT,NaN,"CRAFTS, TRADES, AND SERVICES",998.72,FOOD PREPARATION/SERVING,NaN,FOOD SERVICES OPERATIONS
13009,Teacher Compensation,Instruction,School Reported,School,ELL,Teacher,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Salaries And Wages For Teachers And Other Prof...,NaN,Operations,"TEACHER, BILINGUAL KINDERGATN",NaN,NaN,Critical Needs Incentive,School,NaN,Instruction,All Campus Payroll,TEACHER BACHELOR,"4,170.77",Bilingual Education And Special Language Programs,General Operating Fund,CRITICAL NEEDS SUPPLEMENT
13519,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,NaN,FEDERAL GDPG FUND - FY,Speech Language Pathologst,n/a,NaN,NaN,SPECIAL EDUCATION,NaN,TITLE VI-IDEA B-MAIN,NaN,PROFESSIONAL-INSTRUCTIONAL,56.25,SPECIAL EDUCATION-S/L,NaN,SPECIAL EDUCATION
13826,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Area Officers,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,ALTERNATIVE ED / CONSTITUENCY,GENERAL FUND,"Supt, Instructional",n/a,NaN,NaN,ALTERNATIVE ED / CONSTITUENCY,NaN,NON-PROJECT,NaN,ADMINISTRATOR,"3,032.96",SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
14165,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12Operating,SUPPLIES,NaN,PRIMARY EARLY INTERVENTION PROG,NaN,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,196.15,PRIMARY GRADES EARLY INTERVENTION PROGRAM,General Fund,NaN
14198,Extended Time & Tutoring,Instruction,School Reported,School,Poverty,Teacher,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Salaries And Wages For Teachers And Other Prof...,NaN,"Title,Part A Improving Basic Programs","TEACHER, REGULAR",NaN,NaN,Extended Day,School,NaN,Instruction,Instruction And Curriculum,TEACHER BACHELOR,260.47,"Title I, Part A Schoolwide Activities Related...",Title;Part A Improving Basic Programs,EXTENDED DAYS
15327,Professional Development,ISPD,Shared Services,Non-School,Special Education,Teacher,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,NaN,ARRA - STIMULUS,"Teacher,Spec Ed Center Prg",n/a,NaN,NaN,SPECIAL EDUCATION,NaN,IDEA ARRA,NaN,PROFESSIONAL-INSTRUCTIONAL,96.59,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
15447,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,SEVERE DISABILITIES,GENERAL FUND,Elementary Spec Ed Para,Regular,NaN,NaN,NaN,NaN,SPECIAL ED. - SEVERE NEEDS,NaN,PARAPROFESSIONAL,301.24,SPECIAL EDUCATION,NaN,SPECIAL EDUCATION
16717,Student Assignment,Leadership,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,NaN,GENERAL FUND,"Specialist, New Schools",n/a,NaN,NaN,SCHOOL CHOICE,NaN,NON-PROJECT,NaN,PROFESSIONAL-OTHER,"2,591.20","PLANNING,RESEARCH,DEVELOPMENT",NaN,CENTRAL
17185,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Social Worker,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,PSYCHOLOGICAL SERVICES,GENERAL FUND,Social Worker,n/a,NaN,NaN,SOCIAL WORK SERVICES,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,511.53,SOCIAL WORK SERVICES,NaN,STUDENTS
17770,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Nurse Aide,NO_LABEL,NO_LABEL,PreK-12Operating,NaN,NaN,NaN,Clinic Assistant,NaN,NaN,NaN,NaN,1,NaN,NaN,CLINIC ASSISTANT,"26,960.20",NURSES,General Fund,NaN
17783,Data Processing & Information Services,Business Services,School Reported,School,Unspecified,Other,BaseSalary/Compensation,NonPreK,PreK-12Operating,Salaries And Wages For Teachers And Other Prof...,NaN,Operations,COMPUTER TECHNOLOGY SPECIALIST,NaN,Undistributed,Allotment Supplement (Career Ladder) Supplement,School,0.01,Instructional Resources And Media Services,All Campus Payroll,TEACHER BACHELOR,962.65,Undistributed,General Operating Fund,REGULAR PAY
17941,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,NaN,GENERAL FUND,"Teacher, Elementary",Regular,NaN,NaN,NaN,NaN,ELA E-TEACHING SHELTERED ENG,NaN,PROFESSIONAL-INSTRUCTIONAL,"5,000.88",GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
18757,Aides Compensation,Instruction,School Reported,School,PreK,TA,OtherCompensation/Stipend,PreK,PreK-12Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,NaN,DISTRICT SPECIAL REVENUE FUNDS,Early Childhood Education,Regular,NaN,NaN,NaN,NaN,Innovation Grant,NaN,PROFESSIONAL-INSTRUCTIONAL,"2,191.56",GENERAL K-8 EDUCATION,NaN,REGULAR INSTRUCTION
18770,Food Services,O&M,School Reported,School,Unspecified,Other,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF PART TIME EMPLOYEE,FOOD SERVICES,FOOD SERVICE FUND,Food Service Worker II,Regular,NaN,NaN,NaN,0.524555,NON-PROJECT,NaN,"CRAFTS, TRADES, AND SERVICES","7,174.68",FOOD PREPARATION/SERVING,NaN,FOOD SERVICES OPERATIONS
18872,Aides Compensation,Instruction,Shared Services,Non-School,Special Education,TA,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF PART TIME EMPLOYEE,SPECIAL ED SYSTEMWIDE COSTS,GENERAL FUND,Summer School Para,n/a,NaN,NaN,SUMMER SCHOOL - ELEMENTARY SCH,0.044437,SPECIAL ED - EARLY CHILDHOOD,NaN,PARAPROFESSIONAL,"1,266.47",SPECIAL EDUCATION,NaN,SPECIAL EDUCATION
19255,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Physical Therapist,NO_LABEL,NO_LABEL,PreK-12Operating,NaN,NaN,NaN,Physical Therapist,NaN,NaN,NaN,NaN,0.2,NaN,NaN,PHYSICAL THERAPIST,"16,576.42",SPECIAL EDUCATION CATEGORY V,General Fund,NaN
19303,Data Processing & Information Services,Business Services,School Reported,School,Unspecified,Other,BaseSalary/Compensation,NonPreK,PreK-12Operating,Salaries And Wages For Teachers And Other Prof...,NaN,Operations,COMPUTER TECHNOLOGY SPECIALIST,NaN,Undistributed,Salaries And Wages For Teachers And Other Prof...,School,0.44,Instructional Resources And Media Services,All Campus Payroll,TEACHER MASTER,"28,641.75",Undistributed,General Operating Fund,REGULAR PAY
19386,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Special Education,Teacher,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,HUMANITIES,GENERAL FUND,Teacher,n/a,NaN,NaN,HUMANITIES,NaN,CORE MATTERS,NaN,PROFESSIONAL-INSTRUCTIONAL,47.89,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
20262,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Operating,Personal Services - Other Compensation,NaN,NaN,NaN,NaN,Adult Programs,NaN,NaN,0,NaN,CAREER AND TECHNOLOGY EDUCATION,TIME CARD CERTIFIEDAddl,"2,685.02",Support - Regular Instruction,General Purpose School,NaN
20404,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,NaN,CUSTODIAL SERVICES,LOCAL,CUSTODIAN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,"40,392.83",NaN,NaN,NaN
20921,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,NONCAPITALIZED  REMOD/RENOV,NaN,NaN,NaN,NaN,NaN,NaN,School,NaN,FACILITIES ACQ AND CONST,NaN,NaN,780.35,NaN,MILLAGE,GENERAL MAINTENANCE-Host Bgt
21054,Extended Time & Tutoring,Instruction,Shared Services,Non-School,At Risk,Teacher,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Salaries And Wages For Teachers And Other Prof...,NaN,State Ed. Allotment,"TEACHER, REGULAR",NaN,NaN,Extended Year,Summer School,NaN,Instruction,Instruction And Curriculum,TEACHER BACHELOR,729.80,"Title I, Part A Schoolwide Activities Related...",General Operating Fund,EXTENDED YEAR
22109,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,NaN,GENERAL FUND,"Student Advisor, High Sch",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,129.86,GUIDANCE SERVICES,NaN,STUDENTS
23959,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,SubstituteCompensation,NonPreK,PreK-12Operating,Salaries And Wages For Substitute Professionals,NaN,Operations,TEACHER SUBSTITUTE POOL,NaN,Basic Educational Services - District Objective,Salaries And Wages For Substitute Teachers,School,NaN,Instruction,All Campus Payroll,DEGREED SUBSTITUTE,189.23,Basic Educational Services,General Operating Fund,REGULAR PAY
23970,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12Operating,SUPPLIES,NaN,CATEGORY III EXP ONLY SPECIAL ED,NaN,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,150.25,SPECIAL EDUCATION CATEGORY III,General Fund,NaN
24150,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF PART TIME EMPLOYEE,NaN,GENERAL FUND,Reading & Writing Asst,Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PARAPROFESSIONAL,"6,247.21",GENERAL K-8 EDUCATION,NaN,REGULAR INSTRUCTION
24169,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,Other,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,NaN,PERSONNEL,LOCAL,HR SPECIALIST,NaN,NaN,NaN,OFFICE OF HUMAN RESOURCES,1,NaN,NaN,NaN,"46,980.48",NaN,NaN,NaN
24385,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,BaseSalary/Compensation,NonPreK,PreK-12Operating,Personal Services - Super / Dir / Supv,NaN,NaN,ACCOUNTS PAYABLE ADMINISTRATOR,NaN,Fiscal Services,NaN,Central Office,1,NaN,FISCAL SERVICES,SUPERVISOR - MON.,"114,956.30",District Administration,General Purpose School,NaN
24414,School Administration,Leadership,School Reported,School,Unspecified,Principal,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,"Principal, Elementary",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,ADMINISTRATOR,928.47,SUPPORT SERVICES-SCHOOL ADMIN,NaN,SCHOOL ADMINISTRATION
24822,Data Processing & Information Services,NO_LABEL,Leadership & Management,Non-School,NO_LABEL,NO_LABEL,OtherNon-Compensation,NO_LABEL,PreK-12Operating,DUES AND FEES,NaN,MISCELLANEOUS,NaN,NaN,NaN,NaN,ADMIN. SERVICES,NaN,SUPPORT SERVICES-CENTRAL,NaN,NaN,"27,370.07",Misc,General Fund,NaN
24839,Recruitment,ISPD,Leadership & Management,Non-School,Unspecified,Teacher,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Salaries And Wages For Teachers And Other Prof...,NaN,Operations,"TEACHER, REGULAR",NaN,NaN,Extra Duty Wages,Undistributed,NaN,Curriculum Development And Instructional Staff...,"Human Resources, Administration",TEACHER BACHELOR,130.32,Undistributed,General Operating Fund,COOPERATING TEACHER STIPEND
